,Unnamed: 0,Id,EssaySet,Score1,Score2,EssayText
0,0,2,1.0,1.0,1.0,بعد قراء تاريخ انتهاء صلاح ، ادرك ان معلوم اضاف الت تحتاج لتكرار انتهاء صلاح هي واحد ، كم الخل الت سكب في كل حاو ، اثنت ، قم تسم حاو قبل ان تبدء في انتهاء صلاح ثلاث ، اكتب خاتم تاكد من نتايج دقيقة.
1,1,3,1.0,1.0,1.0,"ما تحتاج هو مزيد من تجارب ، اعدادا تحكم ، وكم محدد من الخل لتسكب 1,1,1,1,بعض معلوم اضاف الت نحتاج لتكرار تجرب هي مقدار الخل الذ يجب وضع في كل حاو متطابق ، كيف او ما هي ادا الت يجب استخدام لقياس كتل عين اربع مختلف وكم ماء مقطر الت يجب استخدام لشطف عين اربع بعد اخراج من خل."""
2,3,4,1.0,0.0,0.0,يجب علي طالب ان يذكر صخر افضل وما هي صخر اسوء في اجراء.
3,4,5,1.0,2.0,2.0,لك يتم طلاب من عمل نسخ مكرر ، يحتاج الي معرف كيف استخدام كم الخل مستخدم ماه مواد لازم لانتهاء صلاحية.
5,6,7,1.0,1.0,0.0,معلوم الت احتاج من اجل تكرار تجرب نجاح هي قياس صحيح الذ استخدم تجرب ، كذل مواد الت تم استخدام لانشاء تجربة. بعد مرور 24 ساع ، يتم اخراج عين من حاو شطف كل عين ماء مقطر. قد لا يكون تجفيف لمد 30 دقيق كاف لتحديد كتل كل عين ، خاص عندم يكون لدي اكثر من عين مختلف لتكو نسيج مختلف.
6,7,8,1.0,3.0,3.0,تحتاج الي مزيد من معلوم لتكرار تجربة. تحتاج الي نوع عين لتبدء به في اجراء. تحتاج ايض الي معرف كم الخل مستخدم في كل عاء. تحتاج ايض الي معرف كيف تجميع عين ضبط انواع حاو الت يجب استخدام (البلاست علي سبيل مثال ، قد يغير نتايج).
7,8,9,1.0,3.0,3.0,بعض معلوم اضاف الت تحتاج هي مواد. تحتاج ايض الي معرف حجم كونتانير لقياس كيف تاثير مطر حمض عليه. انت حاج الي معرف كم نبيذ مستخدم لكل عينة. شيء اخر الذ قد يساعد في معرف حجم احجار عين من خلال قياس افضل طريق ممكنة.
12,13,14,1.0,2.0,2.0,من اجل تكرار تجرب الت تحتاج
13,14,15,1.0,0.0,0.0,حسنا ، ما افهم حول هذا اجراء هو انك تاخذ اربع عينا ، تضع في عبوا مختلف تبدو متشابه ، تضع الخل علي كل عين + تشطف اخير ماء عاد + اتر تجلس لمد 30 دقيق حتي تجف. ثم اخير ستري فرق بين تلك عينات.
14,15,16,1.0,0.0,0.0,انا لا اعرف ما يجري!
16,17,18,1.0,0.0,0.0,معلوم اضاف الت احتاج هي توصل الي فرض تنبء عين الت يكون لها اكبر كتل في مطر حمضي. بعد ذلك ، يجب ان اتوصل الي متغيرا تابع مستقل حتي اتم من معرف ورء كل متغير مختلف في كتلة. اقوم تنظيم بيان لمعرف ما اذا كان معلوم دقيقة. ثم اكتب استنتاج لمعرف ما اذا كان رضيت صحيح لاري ما اذا كان نتايج صحيحة.
18,19,20,1.0,3.0,3.0,لك اقوم تكرار اجراء ، احتاج الي معرف عين اربع الت استخدم ، يجب علي تضمين ذلك في اجراءاتهم. كما يجب علي بقاء في مكان لوضع حاو اربع خلال فتر 24 ساع اخير ، يجب ان يتضمن نوع الخل او علام تجار حيث عندم اقوم بهذ تجرب ، اقترب مما فعل فعل ، تال يكون قادر علي تكرار تجربة.
20,21,22,1.0,2.0,2.0,من اجل تكرار تجرب ، احتاج الي معرف كتل عين اربع مختلف ، وكم الخل الت يجب سكب في حاو ، وما تتكون عين ، وكم ماء لشطف بعد 24 ساعة.
21,22,23,1.0,0.0,0.0,احتاج يانا طلاب الي تضمين مقدار الحل ضعيف. كان حاج ايض الي معرف ما اذا كان صخور تزن نفس شيء عندم دات.
22,23,24,1.0,3.0,3.0,في هذه تجارب مضاعف ، تحتاج الي معرف مقدار الخل الذ تم استخدام في كل كوب ضبط. يكون علي ايض معرف حجم كل حاوية. اضاف الي ذلك ، تحتاج الي معرف حجم كل عين ، تاكد من انه يمك وضع في اكواب تساوي.
